name,location,m3,timeStamp
ConsumoAgua,Salamanca,2,1680471821000
ConsumoAgua,Cáceres,6,1680471821000
ConsumoAgua,Salamanca,8,1680471821000
ConsumoAgua,Valencia,37,1680471821000
ConsumoAgua,Salamanca,3,1680471821000
ConsumoAgua,Cáceres,1,1680471821000
ConsumoAgua,Lleida,3,1680471821000
ConsumoAgua,Málaga,7,1680471821000
ConsumoAgua,Cantabria,8,1680471821000
ConsumoAgua,Zaragoza,3,1680471821000
ConsumoAgua,León,2,1680471821000
ConsumoAgua,Salamanca,4,1680468221000
ConsumoAgua,Cáceres,7,1680468221000
ConsumoAgua,Salamanca,9,1680468221000
ConsumoAgua,Valencia,4,1680468221000
ConsumoAgua,Salamanca,2,1680468221000
ConsumoAgua,Cáceres,5,1680468221000
ConsumoAgua,Lleida,7,1680468221000
ConsumoAgua,Málaga,3,1680468221000
ConsumoAgua,Cantabria,1,1680468221000
ConsumoAgua,Zaragoza,5,1680468221000
ConsumoAgua,León,8,1680468221000
ConsumoAgua,Salamanca,4,1680464621000
ConsumoAgua,Cáceres,7,1680464621000
ConsumoAgua,Salamanca,9,1680464621000
ConsumoAgua,Valencia,4,1680464621000
ConsumoAgua,Salamanca,2,1680464621000
ConsumoAgua,Cáceres,5,1680464621000
ConsumoAgua,Lleida,7,1680464621000
ConsumoAgua,Málaga,3,1680464621000
ConsumoAgua,Cantabria,1,1680464621000
ConsumoAgua,Zaragoza,5,1680464621000
ConsumoAgua,León,8,1680464621000
